GitHubProject,NuGetPreview,Stars
"[dotnet/wcf](https://www.github.com/dotnet/wcf#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnet.wcf?preview=1#show-readme-container)",1492
"[xasset/xasset](https://www.github.com/xasset/xasset#readme)","[Preview](https://dev.nugettest.org/packages/loic.xasset.xasset?preview=1#show-readme-container)",1459
"[liukuo362573/YiShaAdmin](https://www.github.com/liukuo362573/YiShaAdmin#readme)","[Preview](https://dev.nugettest.org/packages/loic.liukuo362573.YiShaAdmin?preview=1#show-readme-container)",1451
"[bombomby/optick](https://www.github.com/bombomby/optick#readme)","[Preview](https://dev.nugettest.org/packages/loic.bombomby.optick?preview=1#show-readme-container)",1445
"[dotnet/pinvoke](https://www.github.com/dotnet/pinvoke#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnet.pinvoke?preview=1#show-readme-container)",1425
"[danielpalme/ReportGenerator](https://www.github.com/danielpalme/ReportGenerator#readme)","[Preview](https://dev.nugettest.org/packages/loic.danielpalme.ReportGenerator?preview=1#show-readme-container)",1410
"[Auburn/FastNoiseLite](https://www.github.com/Auburn/FastNoiseLite#readme)","[Preview](https://dev.nugettest.org/packages/loic.Auburn.FastNoiseLite?preview=1#show-readme-container)",1403
"[aelij/RoslynPad](https://www.github.com/aelij/RoslynPad#readme)","[Preview](https://dev.nugettest.org/packages/loic.aelij.RoslynPad?preview=1#show-readme-container)",1403
"[xamarin/Essentials](https://www.github.com/xamarin/Essentials#readme)","[Preview](https://dev.nugettest.org/packages/loic.xamarin.Essentials?preview=1#show-readme-container)",1403
"[NLua/NLua](https://www.github.com/NLua/NLua#readme)","[Preview](https://dev.nugettest.org/packages/loic.NLua.NLua?preview=1#show-readme-container)",1397
"[Accelerider/Accelerider.Windows](https://www.github.com/Accelerider/Accelerider.Windows#readme)","[Preview](https://dev.nugettest.org/packages/loic.Accelerider.Accelerider.Windows?preview=1#show-readme-container)",1385
"[dotnetcore/AspectCore-Framework](https://www.github.com/dotnetcore/AspectCore-Framework#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnetcore.AspectCore-Framework?preview=1#show-readme-container)",1384
"[rubberduck-vba/Rubberduck](https://www.github.com/rubberduck-vba/Rubberduck#readme)","[Preview](https://dev.nugettest.org/packages/loic.rubberduck-vba.Rubberduck?preview=1#show-readme-container)",1383
"[NewLifeX/X](https://www.github.com/NewLifeX/X#readme)","[Preview](https://dev.nugettest.org/packages/loic.NewLifeX.X?preview=1#show-readme-container)",1378
"[dotnet/infer](https://www.github.com/dotnet/infer#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnet.infer?preview=1#show-readme-container)",1374
"[monitor1394/unity-ugui-XCharts](https://www.github.com/monitor1394/unity-ugui-XCharts#readme)","[Preview](https://dev.nugettest.org/packages/loic.monitor1394.unity-ugui-XCharts?preview=1#show-readme-container)",1368
"[PiranhaCMS/piranha.core](https://www.github.com/PiranhaCMS/piranha.core#readme)","[Preview](https://dev.nugettest.org/packages/loic.PiranhaCMS.piranha.core?preview=1#show-readme-container)",1352
"[setchi/FancyScrollView](https://www.github.com/setchi/FancyScrollView#readme)","[Preview](https://dev.nugettest.org/packages/loic.setchi.FancyScrollView?preview=1#show-readme-container)",1347
"[castleproject/Core](https://www.github.com/castleproject/Core#readme)","[Preview](https://dev.nugettest.org/packages/loic.castleproject.Core?preview=1#show-readme-container)",1346
"[dotnetcore/Magicodes.IE](https://www.github.com/dotnetcore/Magicodes.IE#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnetcore.Magicodes.IE?preview=1#show-readme-container)",1341
"[xamarin/XamarinCommunityToolkit](https://www.github.com/xamarin/XamarinCommunityToolkit#readme)","[Preview](https://dev.nugettest.org/packages/loic.xamarin.XamarinCommunityToolkit?preview=1#show-readme-container)",1337
"[SkyAPM/SkyAPM-dotnet](https://www.github.com/SkyAPM/SkyAPM-dotnet#readme)","[Preview](https://dev.nugettest.org/packages/loic.SkyAPM.SkyAPM-dotnet?preview=1#show-readme-container)",1332
"[aspnet-contrib/AspNet.Security.OAuth.Providers](https://www.github.com/aspnet-contrib/AspNet.Security.OAuth.Providers#readme)","[Preview](https://dev.nugettest.org/packages/loic.aspnet-contrib.AspNet.Security.OAuth.Providers?preview=1#show-readme-container)",1329
"[castleproject/Windsor](https://www.github.com/castleproject/Windsor#readme)","[Preview](https://dev.nugettest.org/packages/loic.castleproject.Windsor?preview=1#show-readme-container)",1328
"[luberda-molinet/FFImageLoading](https://www.github.com/luberda-molinet/FFImageLoading#readme)","[Preview](https://dev.nugettest.org/packages/loic.luberda-molinet.FFImageLoading?preview=1#show-readme-container)",1328
"[BepInEx/BepInEx](https://www.github.com/BepInEx/BepInEx#readme)","[Preview](https://dev.nugettest.org/packages/loic.BepInEx.BepInEx?preview=1#show-readme-container)",1305
"[RaduMC/AssetStudio](https://www.github.com/RaduMC/AssetStudio#readme)","[Preview](https://dev.nugettest.org/packages/loic.RaduMC.AssetStudio?preview=1#show-readme-container)",1303
"[Nethereum/Nethereum](https://www.github.com/Nethereum/Nethereum#readme)","[Preview](https://dev.nugettest.org/packages/loic.Nethereum.Nethereum?preview=1#show-readme-container)",1297
"[zkSNACKs/WalletWasabi](https://www.github.com/zkSNACKs/WalletWasabi#readme)","[Preview](https://dev.nugettest.org/packages/loic.zkSNACKs.WalletWasabi?preview=1#show-readme-container)",1289
"[mr-kelly/KSFramework](https://www.github.com/mr-kelly/KSFramework#readme)","[Preview](https://dev.nugettest.org/packages/loic.mr-kelly.KSFramework?preview=1#show-readme-container)",1285
"[shuxinqin/Chloe](https://www.github.com/shuxinqin/Chloe#readme)","[Preview](https://dev.nugettest.org/packages/loic.shuxinqin.Chloe?preview=1#show-readme-container)",1283
"[jstedfast/MimeKit](https://www.github.com/jstedfast/MimeKit#readme)","[Preview](https://dev.nugettest.org/packages/loic.jstedfast.MimeKit?preview=1#show-readme-container)",1281
"[leinlin/Miku-LuaProfiler](https://www.github.com/leinlin/Miku-LuaProfiler#readme)","[Preview](https://dev.nugettest.org/packages/loic.leinlin.Miku-LuaProfiler?preview=1#show-readme-container)",1257
"[AdamsLair/duality](https://www.github.com/AdamsLair/duality#readme)","[Preview](https://dev.nugettest.org/packages/loic.AdamsLair.duality?preview=1#show-readme-container)",1255
"[nuke-build/nuke](https://www.github.com/nuke-build/nuke#readme)","[Preview](https://dev.nugettest.org/packages/loic.nuke-build.nuke?preview=1#show-readme-container)",1247
"[MahApps/MahApps.Metro.IconPacks](https://www.github.com/MahApps/MahApps.Metro.IconPacks#readme)","[Preview](https://dev.nugettest.org/packages/loic.MahApps.MahApps.Metro.IconPacks?preview=1#show-readme-container)",1244
"[dotnet/interactive](https://www.github.com/dotnet/interactive#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnet.interactive?preview=1#show-readme-container)",1242
"[944095635/DMSkin](https://www.github.com/944095635/DMSkin#readme)","[Preview](https://dev.nugettest.org/packages/loic.944095635.DMSkin?preview=1#show-readme-container)",1234
"[TASVideos/BizHawk](https://www.github.com/TASVideos/BizHawk#readme)","[Preview](https://dev.nugettest.org/packages/loic.TASVideos.BizHawk?preview=1#show-readme-container)",1209
"[iamoldli/NetModular](https://www.github.com/iamoldli/NetModular#readme)","[Preview](https://dev.nugettest.org/packages/loic.iamoldli.NetModular?preview=1#show-readme-container)",1208
"[microsoft/azure-pipelines-agent](https://www.github.com/microsoft/azure-pipelines-agent#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoft.azure-pipelines-agent?preview=1#show-readme-container)",1200
"[dotnet/sdk](https://www.github.com/dotnet/sdk#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnet.sdk?preview=1#show-readme-container)",1176
"[ebekker/ACMESharp](https://www.github.com/ebekker/ACMESharp#readme)","[Preview](https://dev.nugettest.org/packages/loic.ebekker.ACMESharp?preview=1#show-readme-container)",1165
"[microsoft/Microsoft.IO.RecyclableMemoryStream](https://www.github.com/microsoft/Microsoft.IO.RecyclableMemoryStream#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoft.Microsoft.IO.RecyclableMemoryStream?preview=1#show-readme-container)",1156
"[dotnetcore/EasyCaching](https://www.github.com/dotnetcore/EasyCaching#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnetcore.EasyCaching?preview=1#show-readme-container)",1152
"[lampo1024/DncZeus](https://www.github.com/lampo1024/DncZeus#readme)","[Preview](https://dev.nugettest.org/packages/loic.lampo1024.DncZeus?preview=1#show-readme-container)",1138
"[helix-toolkit/helix-toolkit](https://www.github.com/helix-toolkit/helix-toolkit#readme)","[Preview](https://dev.nugettest.org/packages/loic.helix-toolkit.helix-toolkit?preview=1#show-readme-container)",1130
"[Unity-Technologies/Graphics](https://www.github.com/Unity-Technologies/Graphics#readme)","[Preview](https://dev.nugettest.org/packages/loic.Unity-Technologies.Graphics?preview=1#show-readme-container)",1120
"[TeamSirenix/odin-serializer](https://www.github.com/TeamSirenix/odin-serializer#readme)","[Preview](https://dev.nugettest.org/packages/loic.TeamSirenix.odin-serializer?preview=1#show-readme-container)",1116
"[loklak/loklak_dotnet_api](https://www.github.com/loklak/loklak_dotnet_api#readme)","[Preview](https://dev.nugettest.org/packages/loic.loklak.loklak_dotnet_api?preview=1#show-readme-container)",1113
"[lachesis/scallion](https://www.github.com/lachesis/scallion#readme)","[Preview](https://dev.nugettest.org/packages/loic.lachesis.scallion?preview=1#show-readme-container)",1111
"[chocolatey/ChocolateyGUI](https://www.github.com/chocolatey/ChocolateyGUI#readme)","[Preview](https://dev.nugettest.org/packages/loic.chocolatey.ChocolateyGUI?preview=1#show-readme-container)",1108
"[dotnetcore/HttpReports](https://www.github.com/dotnetcore/HttpReports#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnetcore.HttpReports?preview=1#show-readme-container)",1099
"[dotnet/roslyn-analyzers](https://www.github.com/dotnet/roslyn-analyzers#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnet.roslyn-analyzers?preview=1#show-readme-container)",1094
"[telerik/UI-For-UWP](https://www.github.com/telerik/UI-For-UWP#readme)","[Preview](https://dev.nugettest.org/packages/loic.telerik.UI-For-UWP?preview=1#show-readme-container)",1093
"[oskardudycz/EventSourcing.NetCore](https://www.github.com/oskardudycz/EventSourcing.NetCore#readme)","[Preview](https://dev.nugettest.org/packages/loic.oskardudycz.EventSourcing.NetCore?preview=1#show-readme-container)",1078
"[jwallet/spy-spotify](https://www.github.com/jwallet/spy-spotify#readme)","[Preview](https://dev.nugettest.org/packages/loic.jwallet.spy-spotify?preview=1#show-readme-container)",1077
"[unosquare/embedio](https://www.github.com/unosquare/embedio#readme)","[Preview](https://dev.nugettest.org/packages/loic.unosquare.embedio?preview=1#show-readme-container)",1076
"[essensoft/paylink](https://www.github.com/essensoft/paylink#readme)","[Preview](https://dev.nugettest.org/packages/loic.essensoft.paylink?preview=1#show-readme-container)",1068
"[dotnet/format](https://www.github.com/dotnet/format#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnet.format?preview=1#show-readme-container)",1067
"[code-cracker/code-cracker](https://www.github.com/code-cracker/code-cracker#readme)","[Preview](https://dev.nugettest.org/packages/loic.code-cracker.code-cracker?preview=1#show-readme-container)",1060
"[cloudscribe/cloudscribe](https://www.github.com/cloudscribe/cloudscribe#readme)","[Preview](https://dev.nugettest.org/packages/loic.cloudscribe.cloudscribe?preview=1#show-readme-container)",1059
"[dwmkerr/sharpshell](https://www.github.com/dwmkerr/sharpshell#readme)","[Preview](https://dev.nugettest.org/packages/loic.dwmkerr.sharpshell?preview=1#show-readme-container)",1054
"[servicetitan/Stl.Fusion](https://www.github.com/servicetitan/Stl.Fusion#readme)","[Preview](https://dev.nugettest.org/packages/loic.servicetitan.Stl.Fusion?preview=1#show-readme-container)",1033
"[PrismLibrary/Prism-Samples-Wpf](https://www.github.com/PrismLibrary/Prism-Samples-Wpf#readme)","[Preview](https://dev.nugettest.org/packages/loic.PrismLibrary.Prism-Samples-Wpf?preview=1#show-readme-container)",1023
"[lbugnion/mvvmlight](https://www.github.com/lbugnion/mvvmlight#readme)","[Preview](https://dev.nugettest.org/packages/loic.lbugnion.mvvmlight?preview=1#show-readme-container)",1023
"[sourcechord/FluentWPF](https://www.github.com/sourcechord/FluentWPF#readme)","[Preview](https://dev.nugettest.org/packages/loic.sourcechord.FluentWPF?preview=1#show-readme-container)",1022
"[microsoft/Cognitive-Samples-IntelligentKiosk](https://www.github.com/microsoft/Cognitive-Samples-IntelligentKiosk#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoft.Cognitive-Samples-IntelligentKiosk?preview=1#show-readme-container)",1014
"[microsoft/playwright-dotnet](https://www.github.com/microsoft/playwright-dotnet#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoft.playwright-dotnet?preview=1#show-readme-container)",1009
